Name,Worth,Age,Country,Self Made,Dropped Out,Bachelors Degree,Masters Degree,MBA1,phd,professional_degree,Other Degrees,Joining Year,No Of Times On List,No Of Times Left,No Of Comebacks,Longest Time Away,Sector,Gender1,Detail1,Detail2,Number Of Degress,Presence On List,Continent/Region,last_year_on_list,last_off_list,founding_year,relation,Cluster,Age at start
Paul Allen,19.9,64,United States,Y,Y,N,N,N,N,N,N,2007,11,0,0,0,Technology,male,"Microsoft, investments, Self Made","Drop Out, Washington State University",0,1,North America,2017,,,,The Consistent,
Stefan Persson,19.6,69,Sweden,N,N,N,N,N,Y,N,N,2007,11,0,0,0,Fashion and Retail,male,H&amp;M,"Associate in Arts / Science, University of Stockholm",1,1,Europe,2017,,1947,Relation,The Consistent,
Theo Albrecht,18.8,66,Germany,N,N,N,N,N,N,N,N,2013,5,0,0,0,Fashion and Retail,male,"Aldi, Trader Joe's",NA,0,1,Europe,2017,,,,The Consistent,
Prince Alwaleed Bin Talal Alsaud,18.7,62,Saudi Arabia,Y,N,Y,Y,N,N,N,N,2007,11,0,0,0,Investments,male,"investments, Self Made","Bachelor of Arts / Science, Menlo College; Master of Science, Syracuse University",2,1,Middle East,2017,,1980,Founder,The Consistent,26
Leonid Mikhelson,18.4,61,Russia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Energy,male,"gas, chemicals, Self Made","Bachelor of Arts / Science, Kuybyshev Engineering and Construction Institute",1,1,Europe,2017,,,Chairman,The Consistent,
Charles Ergen,18.3,64,United States,Y,N,Y,N,Y,N,N,N,2007,11,0,0,0,Technology,male,"satellite TV, Self Made","Bachelor of Arts / Science, University of Tennessee Knoxville; Master of Business Administration, Wake Forest University School of Business",2,1,North America,2017,,1980,Founder,The Consistent,28
Stefan Quandt,18.3,50,Germany,N,N,N,N,N,Y,N,N,2007,11,0,0,0,Automotive,male,BMW,"Associate in Arts / Science, Technical University of Karlsruhe",1,1,Europe,2017,,1916,Relation,The Consistent,
James Simons,18,78,United States,Y,N,Y,N,N,Y,N,N,2007,11,0,0,0,Finance,male,"hedge funds, Self Made","Bachelor of Arts / Science, Massachusetts Institute of Technology; Doctorate, University of California Berkeley",2,1,North America,2017,,1982,,The Consistent,44
Leonardo Del Vecchio,17.9,81,Italy,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Fashion and Retail,male,"eyeglasses, Self Made",NA,0,1,Europe,2017,,1961,Founder,The Consistent,26
Alexey Mordashov,17.5,51,Russia,Y,N,Y,N,Y,N,N,N,2013,5,0,0,0,Metals and Mining,male,"steel, investments, Self Made","Bachelor of Arts / Science, Leningrad Institute of Ec; Master of Business Administration, University of Northumbria",2,1,Europe,2017,,,,The Consistent,
William Ding,17.3,45,China,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Software,male,"online games, Self Made","Bachelor of Arts / Science, University of Electronic Science and Technology of China",1,1,Asia,2017,,1997,,The Consistent,26
Dieter Schwarz,17,77,Germany,N,N,N,N,N,N,N,N,2013,5,0,0,0,Retail,male,retail,NA,0,1,Europe,2017,,,,The Consistent,
Ray Dalio,16.8,67,United States,Y,N,Y,N,Y,N,N,N,2008,10,0,0,0,Finance,male,"hedge funds, Self Made","Bachelor of Arts / Science, Long Island University; Master of Business Administration, Harvard Business School",2,1,North America,2017,,1975,,The Consistent,26
Carl Icahn,16.6,81,United States,Y,Y,Y,N,N,N,N,N,2007,11,0,0,0,Investments,male,"investments, Self Made","Bachelor of Arts / Science, Princeton University; Drop Out, New York University",1,1,North America,2017,,1968,Founder,The Consistent,33
Lakshmi Mittal,16.4,66,India,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Metals and Mining,male,steel,"Bachelor of Arts / Science, St Xavier's College Calcutta",1,1,Asia,2017,,1989,Founder,The Consistent,39
Serge Dassault,16.1,92,France,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Manufacturing,male,diversified,"Bachelor of Arts / Science, Ecole Polytechnique",1,1,Europe,2017,,1914,Relation,The Consistent,
Vladimir Lisin,16.1,60,Russia,Y,N,Y,N,N,Y,N,N,2007,11,0,0,0,Metals and Mining,male,"steel, transport, Self Made","Bachelor of Arts / Science, Siberian Metallurgical Institute; Doctorate, Russian Academy of Economics",2,1,Europe,2017,,,,The Consistent,
Gennady Timchenko,16,64,Russia,Y,N,Y,N,N,N,N,N,2008,9,1,1,1,Energy,male,"oil, gas, Self Made","Bachelor of Arts / Science, Leningrad Mechanical Institute",1,0.9,Europe,2017,2009,2000,,The Consistent,48
Tadashi Yanai,15.9,68,Japan,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Fashion and Retail,male,"fashion retail, Self Made","Bachelor of Arts / Science, Waseda University",1,1,Asia,2017,,,,The Consistent,
Wang Wei,15.9,46,China,Y,N,N,N,N,N,N,N,2013,5,0,0,0,Service,male,"package delivery, Self Made",NA,0,1,Asia,2015,2016,,,The Consistent,
Charoen Sirivadhanabhakdi,15.8,72,Thailand,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Food and Beverage,male,"drinks, real estate, Self Made",NA,0,1,Asia,2017,,1941,Founder,The Consistent,
Francois Pinault,15.7,80,France,Y,Y,N,N,N,N,N,N,2007,11,0,0,0,Fashion and Retail,male,"luxury goods, Self Made","Drop Out, High School",0,1,Europe,2017,,,,The Consistent,
Hinduja family,15.4,-,United Kingdom,N,N,N,N,N,N,N,N,2014,4,0,0,0,Diversified,family,diversified,NA,0,1,Europe,2017,,,,The Consistent,
David & Simon Reuben,15.3,74,United Kingdom,Y,N,N,N,N,N,N,Y,2007,11,0,0,0,Real Estate,male,"investments, real estate, Self Made","Sir John Cass College, London",1,1,Europe,2017,,,,The Consistent,
Donald Bren,15.2,84,United States,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, University of Washington",1,1,North America,2017,,1864,Founder,The Consistent,
Alisher Usmanov,15.2,63,Russia,Y,N,N,Y,N,Y,N,N,2007,11,0,0,0,Metals and Mining,male,"steel, telecom, investments, Self Made","Master, Finance Academy under the Government of the Russian Federation; Master of Laws, Moscow Institute of International Relations",2,1,Europe,2017,,,,The Consistent,
Lee Kun-Hee,15.1,75,South Korea,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Diversified,male,Samsung,"Bachelor of Arts / Science, Waseda University",1,1,Asia,2017,,1938,,The Consistent,
Thomas & Raymond Kwok,15,-,Hong Kong,N,N,N,N,N,N,N,N,2012,6,0,0,0,Real Estate,family,"Hong Kong, Hong Kong",NA,0,1,Asia,2017,,,,The Consistent,
Joseph Lau,15,65,Hong Kong,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,Asia,2017,,1978,Founder,The Consistent,27
Gina Rinehart,15,63,Australia,N,N,N,N,N,N,N,N,2007,11,0,0,0,Metals and Mining,female,mining,NA,0,1,Oceania,2017,,1955,Relation,The Consistent,
Azim Premji,14.9,71,India,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Software,male,software services,"Bachelor of Arts / Science, Stanford University",1,1,Asia,2017,,1945,,The Consistent,
Marcel Herrmann Telles,14.8,67,Brazil,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Food and Beverage,male,"beer, Self Made","Bachelor of Arts / Science, Universidade Federal do Rio de Janeiro",1,1,South America,2017,,1885,Founder,The Consistent,
Vagit Alekperov,14.5,66,Russia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Energy,male,"oil, Self Made","Bachelor of Science in Engineering, Azerbaijan Institute of Oil and Chemistry",1,1,Europe,2017,,1990,Founder,The Consistent,40
Abigail Johnson,14.4,55,United States,N,N,Y,N,Y,N,N,N,2007,11,0,0,0,Finance,female,money management,"Bachelor of Arts / Science, Hobart and William Smith; Master of Business Administration, Harvard Business School",2,1,North America,2017,,1946,Relation,The Consistent,
Mikhail Fridman,14.4,52,Russia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Energy,male,"oil, banking, telecom, Self Made","Bachelor of Arts / Science, Moscow Institute of Steel and Alloys",1,1,Europe,2017,,,Founder,The Consistent,
Pallonji Mistry,14.3,87,Ireland,N,N,N,N,N,N,N,N,2007,11,0,0,0,Construction and Engineering,male,construction,NA,0,1,Europe,2017,,1865,,The Consistent,
Vladimir Potanin,14.3,56,Russia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Metals and Mining,male,"metals, Self Made","Bachelor of Arts / Science, Moscow Institute of International Relations",1,1,Europe,2017,,1991,Founder,The Consistent,31
Wang Wenyin,14,49,China,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Metals and Mining,male,"mining, copper products, Self Made",NA,0,1,Asia,2017,,1994,Founder,The Consistent,
Stefano Pessina,13.9,75,Italy,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Health care,male,drugstores,"Bachelor of Arts / Science, University of Milan",1,1,Europe,2017,,,,The Consistent,
Elon Musk,13.9,45,United States,Y,N,Y,N,N,N,N,N,2012,6,0,0,0,Automotive,male,"Tesla Motors, Self Made","Bachelor of Arts / Science, University of Pennsylvania",1,1,North America,2017,,,Investor/Founder,The Consistent,
Thomas Peterffy,13.8,72,United States,Y,N,N,N,N,N,N,N,2010,8,0,0,0,Finance,male,"discount brokerage, Self Made",NA,0,1,North America,2017,,,Founder,The Consistent,
German Larrea Mota Velasco,13.8,63,Mexico,N,N,N,N,N,N,N,N,2008,10,0,0,0,Metals and Mining,male,mining,NA,0,1,South America,2017,,1978,Founder,The Consistent,25
Iris Fontbona,13.7,74,Chile,N,N,N,N,N,N,N,N,2008,10,0,0,0,Metals and Mining,female,mining,NA,0,1,South America,2017,,1888,Relation,The Consistent,
Dilip Shanghvi,13.7,61,India,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Health care,male,"pharmaceuticals, Self Made","Bachelor of Arts / Science, Calcutta University",1,1,Asia,2017,,1983,,The Consistent,28
Dietrich Mateschitz,13.4,72,Austria,Y,N,N,N,Y,N,N,N,2007,11,0,0,0,Food and Beverage,male,"Red Bull, Self Made","Master of Business Administration, University of Vienna",1,1,Europe,2017,,1984,,The Consistent,40
Harold Hamm,13.3,71,United States,Y,N,N,N,N,N,N,N,2008,10,0,0,0,Energy,male,"oil &amp; gas, Self Made","Diploma, High School",1,1,North America,2017,,1967,Founder,The Consistent,22
Robin Li,13.3,48,China,Y,N,Y,Y,N,N,N,N,2008,9,1,1,1,Software,male,"internet search, Self Made","Bachelor of Arts / Science, Peking University; Master of Arts, University at Buffalo",2,0.9,Asia,2017,2009,2000,Founder,The Consistent,32
Andrey Melnichenko,13.2,45,Russia,Y,N,N,Y,N,N,N,N,2007,11,0,0,0,Energy,male,"coal, fertilizers, Self Made","Master of Science, Plekhanov Russian University of Economics",1,1,Europe,2017,,,,The Consistent,
Rupert Murdoch,13.1,86,United States,Y,N,Y,Y,N,N,N,N,2007,11,0,0,0,Media,male,"newspapers, TV network, Self Made","Bachelor of Arts / Science, Oxford University; Master of Arts, Oxford University",2,1,North America,2017,,1923,Relation,The Consistent,
Heinz Hermann Thiele,13.1,76,Germany,Y,N,N,N,N,Y,N,N,2009,9,0,0,0,Construction and Engineering,male,"brakes, Self Made","LLM, University of Munich",1,1,Europe,2017,,1905,Chairman/Shareholder,The Consistent,
Steve Cohen,13,60,United States,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Finance,male,"hedge funds, Self Made","Bachelor of Arts / Science, University of Pennsylvania Wharton School",1,1,North America,2017,,1992,Founder,The Consistent,36
Patrick Drahi,13,53,France,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Telecom,male,"telecom, Self Made",NA,0,1,Europe,2017,,1994,Founder,The Consistent,31
Henry Sy,12.7,92,Philippines,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Diversified,male,"SM Investments Corporation, Self Made","Bachelor of Arts / Science, Far Eastern University",1,1,Asia,2017,,1960,Founder,The Consistent,36
Anne Cox Chambers,12.6,95,United States,N,N,Y,N,N,N,N,N,2007,9,1,0,0,Media,female,media,"Bachelor of Arts / Science, Finch College",1,0.82,North America,2015,2016,1898,,The Hustler,
Barbara Cox Anthony,12.6,83,United States,N,N,N,N,N,N,N,N,2007,1,1,0,0,Media,female,Media,"High School, Diploma",1,0.09,North America,2007,2008,1898,Relation,The Ghost,
Charlene de Carvalho-Heineken,12.6,62,Netherlands,N,N,Y,N,N,Y,Y,N,2007,11,0,0,0,Food and Beverage,female,Heineken,"Bachelor of Arts / Science, Rijnlands Lyceum Wassenaar; Doctor of Jurisprudence, University of Leiden",2,1,Europe,2017,,1864,Relation,The Consistent,
Hans Rausing,12.5,91,Sweden,N,N,N,N,N,N,N,N,2007,11,0,0,0,Media,male,packaging,NA,0,1,Europe,2017,,1951,Relation,The Consistent,
Philip Anschutz,12.5,77,United States,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Investments,male,investments,"Bachelor of Arts / Science, University of Kansas",1,1,North America,2017,,,Investor,The Consistent,
Ronald Perelman,12.5,74,United States,Y,N,Y,N,Y,N,N,N,2007,11,0,0,0,Finance,male,"leveraged buyouts, Self Made","Bachelor of Arts / Science, University of Pennsylvania; Master of Business Administration, Wharton School",2,1,North America,2017,,1980,Founder,The Consistent,38
Carlos Alberto Sicupira,12.5,69,Brazil,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Food and Beverage,male,"beer, Self Made","Bachelor of Arts / Science, Universidade Federal do Rio de Janeiro",1,1,South America,2017,,1999,Founder,The Consistent,52
Klaus-Michael Kuehne,12.4,79,Germany,N,N,N,N,N,N,N,N,2007,11,0,0,0,Logistics,male,shipping,NA,0,1,Europe,2017,,1890,,The Consistent,
Viktor Vekselberg,12.4,59,Russia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Energy,male,"metals, energy, Self Made","Bachelor of Arts / Science, Moscow State University of Railway Engineering",1,1,Europe,2017,,,Founder,The Consistent,
He Xiangjian,12.3,74,China,Y,N,N,N,N,N,N,N,2008,10,0,0,0,Manufacturing,male,"home appliances, Self Made",NA,0,1,Asia,2017,,1968,,The Consistent,26
Shiv Nadar,12.3,71,India,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Software,male,"software services, Self Made","Bachelor of Arts / Science, PSG College of Technology",1,1,Asia,2017,,1976,Founder,The Consistent,31
Takemitsu Takizaki,12.3,71,Japan,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Manufacturing,male,"sensors, Self Made",NA,0,1,Asia,2017,,1974,Founder,The Consistent,29
Jim Kennedy,12.2,69,United States,N,N,Y,N,N,N,N,N,2008,10,0,0,0,Media,male,media,"Bachelor of Arts / Science, University of Denver",1,1,North America,2017,,1898,Relation,The Consistent,
Blair Parry-Okeden,12.2,66,United States,N,N,Y,N,N,N,N,N,2008,10,0,0,0,Media,female,media,"Diploma, High School; Bachelor of Arts / Science, University of Denver",2,1,North America,2017,,1898,Relation,The Consistent,
Aliko Dangote,12.2,60,Nigeria,Y,N,Y,N,N,N,N,N,2008,10,0,0,0,Manufacturing,male,"cement, sugar, flour, Self Made","Bachelor of Arts / Science, Al-Azhar University",1,1,Africa,2017,,,,The Consistent,
Petr Kellner,12.2,52,Czech Republic,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Finance,male,"banking, insurance, Self Made","Bachelor of Arts / Science, University of Economics in Prague",1,1,Europe,2017,,,,The Consistent,
Samuel Newhouse,12.1,89,United States,N,N,N,N,N,N,N,N,2007,11,0,0,0,Media,male,media,"Diploma, High School",1,1,North America,2017,,1909,Relation,The Consistent,
Lui Che Woo,12.1,88,Hong Kong,Y,N,N,N,N,N,N,N,2007,10,1,1,1,Gaming,male,"casinos, Self Made",NA,0,0.91,Asia,2017,2009,,Founder/Chairman,The Consistent,
Donald Newhouse,12.1,87,United States,N,Y,N,N,N,N,N,N,2007,11,0,0,0,Media,male,media,"Drop Out, Syracuse University",0,1,North America,2017,,1909,Relation,The Consistent,
Stephen Schwarzman,11.8,70,United States,Y,N,Y,N,Y,N,N,N,2007,11,0,0,0,Investments,male,"investments, Self Made","Bachelor of Arts / Science, Yale University; Master of Business Administration, Harvard Business School",2,1,North America,2017,,1985,,The Consistent,39
Alain Wertheimer,11.8,68,France,N,N,N,N,N,N,N,N,2014,4,0,0,0,Fashion and Retail,male,Chanel,NA,0,1,Europe,2017,,1909,Relation,The Consistent,
Gerard Wertheimer,11.8,66,France,N,N,N,N,N,N,N,N,2014,4,0,0,0,Fashion and Retail,male,Chanel,NA,0,1,Europe,2017,,1909,,The Consistent,
Dirce Navarro De Camargo,11.5,NA,Brazil,N,N,N,N,N,N,N,N,2013,1,1,0,0,Construction and Engineering,male,construction,NA,0,0.2,South America,2013,2014,,,The Ghost,
Nasser Al-Kharafi,11.5,67,Kuwait,N,N,N,N,N,N,N,N,2007,5,1,0,0,Construction and Engineering,male,construction,NA,0,0.45,Middle East,2011,2012,1956,Relation,The Ghost,
Robert Kuok,11.4,93,Malaysia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Diversified,male,"palm oil, shipping, property, Self Made","Bachelor of Arts / Science, Raffles College",1,1,Asia,2017,,1971,,The Consistent,48
Emmanuel Besnier,11.3,46,France,N,N,N,N,N,N,N,N,2013,5,0,0,0,Food and Beverage,male,cheese,NA,0,1,Europe,2017,,1933,,The Consistent,
Lukas Walton,11.3,30,United States,N,N,Y,N,N,N,N,N,2016,2,0,0,0,Fashion and Retail,male,Wal-Mart,"Bachelor of Arts / Science, Colorado College",1,1,North America,2017,,,,The Newbie,
Hasso Plattner,11.2,73,Germany,Y,N,N,Y,N,N,N,N,2007,11,0,0,0,Software,male,"software, Self Made","Master of Science, University of Karlsruhe",1,1,Europe,2017,,1972,Founder,The Consistent,29
Eric Schmidt,11.1,61,United States,Y,N,Y,Y,N,Y,N,N,2007,11,0,0,0,Technology,male,"Google, Self Made","Bachelor of Arts / Science, Princeton University; Doctorate, University of California Berkeley; Master of Science, University of California Berkeley",3,1,North America,2017,,1998,,The Consistent,43
Udo & Harald Tschira,11,-,Germany,N,N,N,N,N,N,N,N,2016,2,0,0,0,Software,family,software,NA,0,1,Europe,2017,,,,The Newbie,
Birgit Rausing,11,88,Sweden,N,N,N,N,N,N,N,N,2007,6,1,0,0,Manufacturing,male,packaging,NA,0,0.55,Europe,2012,2013,,,The Ghost,
Luis Carlos Sarmiento,11,84,Colombia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Finance,male,"banking, Self Made","Bachelor of Arts / Science, National University of Colombia",1,1,South America,2017,,,,The Consistent,
Gerald Cavendish Grosvenor,11,64,United Kingdom,N,N,N,N,N,N,N,N,2007,10,1,0,0,Real Estate,male,real estate,NA,0,0.91,Europe,2016,2017,1677,Relation,The Consistent,
David Tepper,11,59,United States,Y,N,Y,N,Y,N,N,N,2007,11,0,0,0,Finance,male,"hedge funds, Self Made","Bachelor of Arts / Science, University of Pittsburgh; Master of Business Administration, David A. Tepper School of Business",2,1,North America,2017,,1993,Founder,The Consistent,36
Alberto Bailleres Gonzalez,10.8,85,Mexico,N,N,N,N,N,N,N,N,2007,11,0,0,0,Metals and Mining,male,mining,NA,0,1,South America,2017,,1960,Relation,The Consistent,
Dustin Moskovitz,10.7,32,United States,Y,Y,N,N,N,N,N,N,2011,7,0,0,0,Software,male,"Facebook, Self Made","Drop Out, Harvard University",0,1,North America,2017,,2004,Founder,The Consistent,20
Majid Al Futtaim,10.6,-,United Arab Emirates,N,N,N,N,N,N,N,N,2007,11,0,0,0,Real Estate,male,"real estate, retail",NA,0,1,Middle East,2017,,,Founder,The Consistent,
Forrest Mars,10.5,80,United States,N,N,Y,N,Y,N,N,N,2007,10,1,0,0,Food and Beverage,male,candy,"Bachelor of Arts / Science, Yale University; Diploma, The Hotchkiss School; Master of Business Administration, Leonard N. Stern School of Business",3,0.91,North America,2016,2017,,,The Consistent,
Peter Woo,10.5,70,Hong Kong,N,N,N,N,Y,N,N,N,2007,11,0,0,0,Real Estate,male,real estate,"Master of Business Administration, Columbia Business School",1,1,Asia,2017,,1955,,The Consistent,
Andrew Beal,10.4,64,United States,Y,Y,N,N,N,N,N,N,2008,9,1,1,1,Finance,male,"banks, real estate, Self Made","Drop Out, Baylor University",0,0.9,North America,2017,2009,,,The Consistent,
John Menard,10.2,77,United States,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Fashion and Retail,male,"home improvement stores, Self Made","Bachelor of Arts / Science, University of Wisconsin, Eau Claire",1,1,North America,2017,,,,The Consistent,
Hui Ka Yan,10.2,58,China,Y,N,Y,N,N,N,N,N,2010,8,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, Wuhan U of  Science &amp; Tec",2,1,Asia,2017,,1997,,The Consistent,39
Reinhold Wuerth,10,81,Germany,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Manufacturing,male,"fasteners, Self Made",NA,0,1,Europe,2017,,1945,Relation,The Consistent,
John Fredriksen,9.9,72,Cyprus,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Logistics,male,"fasteners, Self Made",NA,0,1,Europe,2017,,1985,,The Consistent,41
Dhanin Chearavanont,9.7,77,Thailand,N,N,N,N,N,N,N,N,2007,11,0,0,0,Diversified,male,diversified,NA,0,1,Asia,2017,,1921,,The Consistent,
Galen Weston,9.5,76,Canada,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Retail,male,retail,"Bachelor of Arts / Science, University of Western Ontario",1,1,North America,2017,,,,The Consistent,
Massimiliana Landini Aleotti,9.5,74,Italy,N,N,N,N,N,N,N,N,2015,3,0,0,0,Health care,female,pharmaceuticals,NA,0,1,Europe,2017,,,,The Newbie,
Graeme Hart,9.5,61,New Zealand,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Investments,male,"investments, Self Made",NA,0,1,Oceania,2017,,1987,,The Consistent,32
Kumar Birla,9.5,49,India,N,N,Y,N,Y,N,N,N,2007,11,0,0,0,Diversified,male,commodities,"Bachelor of Arts / Science, University of Bombay; Master of Business Administration, London Business School",2,1,Asia,2017,,1857,Relation,The Consistent,
James Goodnight,9.4,74,United States,Y,N,Y,Y,N,Y,N,N,2007,11,0,0,0,Software,male,"software, Self Made","Bachelor of Arts / Science, North Carolina State University; Doctorate, North Carolina State University; Master of Science, North Carolina State University",3,1,North America,2017,,1976,,The Consistent,34
German Khan,9.3,55,Russia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Energy,male,"oil, banking, telecom, Self Made","Bachelor of Arts / Science, Moscow Institute of Steel and Alloys",1,1,Europe,2017,,,,The Consistent,
Roman Abramovich,9.1,50,Russia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Diversified,male,"steel, investments, Self Made","Bachelor of Arts / Science, Moscow State Law Academy",1,1,Europe,2017,,1988,Founder,The Consistent,22
Dietmar Hopp,9,76,Germany,Y,N,N,Y,N,N,N,N,2007,8,1,1,3,Software,male,"software, Self Made","Master of Science, University of Karlsruhe",1,0.73,Europe,2017,2009,1972,Founder,The Hustler,32
R. Budi Hartono,9,76,Indonesia,N,N,N,N,N,N,N,N,2007,11,0,0,0,Finance,male,"banking, tobacco",NA,0,1,Asia,2017,,,,The Consistent,
James Ratcliffe,9,64,United Kingdom,Y,N,N,N,N,N,N,N,2007,9,1,1,2,Manufacturing,male,"chemicals, Self Made",NA,0,0.82,Europe,2017,2009,1998,Founder,The Hustler,46
Jan Koum,9,41,United States,Y,Y,N,N,N,N,N,N,2014,4,0,0,0,Software,male,"WhatsApp, Self Made","Drop Out, San Jose State University",0,1,North America,2017,,2009,,The Consistent,34
Yang Huiyan,9,35,China,N,N,Y,N,N,N,N,N,2008,10,0,0,0,Real Estate,female,real estate,"Bachelor of Arts / Science, Ohio State University",1,1,Asia,2017,,1997,,The Consistent,
Leonard Lauder,8.9,80,United States,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Fashion and Retail,male,Estee Lauder,"Bachelor of Arts / Science, University of Pennsylvania",1,1,North America,2017,,1946,Relation,The Consistent,
Michael Hartono,8.9,77,Indonesia,N,N,N,N,N,N,N,N,2008,10,0,0,0,Manufacturing,male,"banking, tobacco",NA,0,1,Asia,2017,,,Relation,The Consistent,
Eyal Ofer,8.9,66,Israel,N,N,N,N,N,N,N,N,2012,6,0,0,0,Diversified,male,"real estate, shipping",NA,0,1,Middle East,2017,,,,The Consistent,
Mikhail Prokhorov,8.9,51,Russia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Investments,male,"investments, Self Made","Bachelor of Arts / Science, Moscow Institute of Finance",1,1,Europe,2017,,1993,,The Consistent,28
Thomas Frist,8.8,78,United States,Y,N,Y,N,N,Y,Y,N,2007,11,0,0,0,Health care,male,"health care, Self Made","Bachelor of Arts / Science, Vanderbilt University; Medical Doctor, Washington University",2,1,North America,2017,,1968,Founder/Relation,The Consistent,30
Robert & Philip Ng,8.7,-,Singapore,N,N,N,N,N,N,N,N,2014,4,0,0,0,Real Estate,male,real estate,NA,0,1,Asia,2017,,1970,,The Consistent,
Patrick Soon-Shiong,8.6,64,United States,Y,N,Y,Y,N,Y,Y,N,2007,11,0,0,0,Health care,male,"pharmaceuticals, Self Made","Bachelor of Arts / Science, University of Witwatersrand; Medical Doctor, University of Witwatersrand; Master of Science, University of British Columbia",3,1,North America,2017,,1997,,The Consistent,45
Ernesto Bertarelli,8.6,51,Switzerland,N,N,Y,N,Y,N,N,N,2007,11,0,0,0,Health care,male,"biotech, investments","Bachelor of Arts / Science, Babson College; Master of Business Administration, Harvard University",2,1,Europe,2017,,1906,Relation,The Consistent,
Harry Triguboff,8.5,84,Australia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Real Estate,male,"property, Self Made","Bachelor of Arts / Science, University of Leeds",1,1,Oceania,2017,,1968,Founder,The Consistent,36
Nikolai Tsvetkov,8.4,54,Russia,Y,N,Y,N,N,N,N,N,2007,9,1,0,0,Finance,male,"banking, Self Made","Bachelor of Arts / Science, Air Force Academy (USSR)",1,0.82,Europe,2015,2016,1993,,The Hustler,33
Yao Zhenhua,8.4,47,China,Y,N,N,N,N,N,N,N,2016,2,0,0,0,Retail,male,"conglomerate, Self Made",NA,0,1,Asia,2017,,1992,Founder,The Newbie,23
Zhang Zhidong,8.4,45,China,Y,N,Y,Y,N,N,N,N,2010,8,0,0,0,Software,male,"internet media, Self Made","Bachelor of Arts / Science, Shenzhen University; Master of Arts, South China University of Technology",2,1,Asia,2017,,1998,Founder,The Consistent,27
Charles Schwab,8.3,79,United States,Y,N,Y,N,Y,N,N,N,2007,11,0,0,0,Finance,male,"discount brokerage, Self Made","Bachelor of Arts / Science, Stanford University; Master of Business Administration, Stanford Graduate School of Business",2,1,North America,2017,,1971,Founder,The Consistent,34
Viktor Rashnikov,8.3,68,Russia,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Manufacturing,male,"steel, Self Made","Bachelor of Science in Engineering, Magnitogorsk Mining&nbsp;and Metallurgical Institute",2,1,Europe,2017,,1925,General Director,The Consistent,
Dan Duncan,8.2,77,United States,N,N,N,N,N,N,N,Y,2007,4,1,0,0,Energy,male,energy,Massey Business College,1,0.36,North America,2010,2011,,,The Ghost,
Shahid Khan,8.2,66,United States,Y,N,Y,N,N,N,N,N,2012,6,0,0,0,Automotive,male,"auto parts, Self Made","Bachelor of Arts / Science, University of Illinois, Urbana-Champaign",1,1,North America,2017,,1956,Founder,The Consistent,
Cyrus Poonawalla,8.1,75,India,N,N,Y,N,N,Y,N,N,2007,11,0,0,0,Health care,male,vaccines,"Bachelor of Arts / Science, Pune University; Doctorate, Pune University",2,1,Asia,2017,,1966,,The Consistent,
Margaretta Taylor,8.1,74,United States,N,N,N,N,N,N,N,N,2016,2,0,0,0,Media,female,media,NA,0,1,North America,2017,,,,The Newbie,
