Name,Worth,Age,Country,Self Made,Dropped Out,Bachelors Degree,Masters Degree,MBA1,phd,professional_degree,Other Degrees,Joining Year,No Of Times On List,No Of Times Left,No Of Comebacks,Longest Time Away,Sector,Gender1,Detail1,Detail2,Number Of Degress,Presence On List,Continent/Region,last_year_on_list,last_off_list,founding_year,relation,Cluster,Age at start
Donald Hall,1.6,86,United States,N,N,Y,N,N,N,N,N,2007,7,3,2,1,Retail,male,Hallmark,"Bachelor of Arts / Science, Dartmouth College",1,0.64,North America,2015,2016,,,The Hustler,
Michel Chalhoub,1.6,85,France,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Retail,male,"retail, Self Made",NA,0,1,Europe,2017,,,,The Consistent,
Ciputra,1.6,85,Indonesia,N,N,Y,N,N,N,N,N,2013,5,0,0,0,Real Estate,male,real estate,"Bachelor of Arts / Science, Bandung Institute of Technology",1,1,Asia,2017,,1961,Founder,The Consistent,30
Tetsuro Funai,1.6,85,Japan,Y,N,N,N,N,N,N,N,2007,4,2,1,2,Technology,male,"Electronics, Self Made",NA,0,0.36,Asia,2012,2013,1961,Founder,The Ghost,35
Josef Boquoi,1.6,83,Germany,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Food and Beverage,male,"frozen foods, Self Made",NA,0,1,Europe,2017,,,,The Newbie,
Gustavo Denegri,1.6,81,Italy,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Health care,male,"medical tests, Self Made",NA,0,1,Europe,2017,,,,The Newbie,
Simonpietro Salini,1.6,81,Italy,Y,N,N,N,N,N,N,N,2014,1,1,0,0,Construction and Engineering,male,"construction, Self Made",NA,0,0.25,Europe,2014,2015,1936,Relation,The Hustler,
Roger Penske,1.6,80,United States,Y,Y,N,N,N,N,N,N,2007,10,1,1,1,Automotive,male,"cars, Self Made","Drop Out, Lehigh University",0,0.91,North America,2017,2009,1965,Founder,The Consistent,29
Bill Marriott Jr,1.6,80,United States,N,N,Y,N,N,N,N,N,2012,3,1,0,0,Real Estate,male,hotels,"Bachelor of Arts / Science, University of Utah",1,0.5,North America,2014,2015,,,The Hustler,
Pierre Papillaud,1.6,80,France,Y,N,N,N,N,N,N,N,2014,3,1,0,0,Metals and Mining,male,"water, Self Made",NA,0,0.75,Europe,2016,2017,1990,,The Consistent,55
Vivek Chand Burman,1.6,79,India,N,N,Y,N,N,N,N,N,2015,3,0,0,0,Retail,male,consumer goods,"Bachelor of Arts / Science, University of Miami",1,1,Asia,2017,,,,The Newbie,
Stewart Horejsi,1.6,79,United States,Y,N,N,N,N,N,N,N,2014,4,0,0,0,Investments,male,"Berkshire Hathaway, Self Made",NA,0,1,North America,2017,,1962,Investor,The Consistent,
Kenneth Morrison,1.6,79,United Kingdom,N,N,N,N,N,N,N,N,2007,5,1,0,0,Retail,male,retail,NA,0,0.45,Europe,2011,2012,,,The Ghost,
